0,operario,932
1,mantencion,931
2,operario de produccion,932
3,ayudante soldado r,931
4,operarios,932
5,pioneta,933
6,operario de bodega,933
7,oepraria,932
8,operaria,932
9,ayud trefilado,932
10,asistente de obra,931
11,ayudante albañil,931
12,pintor,931
13,ayudante avanzado producc,932
14,ayudante de taller,932
15,descarga,933
16,operaria de produccion,932
17,operario produccion,932
18,ayudante de carga,933
19,ayudante soldador,932
20,ayudante de produccion,932
21,ayudante en obras,931
22,filetera,932
23,peoneta,933
24,ayudante de electrico,931
25,logistica pesaje camiones,933
26,ayudante de planta,932
27,capataz,931
28,cargador,933
29,operario huincha,933
30,operario logistico,933
31,ayudante electromecanico,932
32,packing,932
33,asistente de reparto,933
34,operador terreno,933
35,ayudante de operador,933
36,tractorista,933
37,descargador de camion,933
38,ayudante de maquina,933
39,ayud soldador,932
40,maestro terminaciones,931
41,recibidor de huincha,933
42,trabajador,931
43,colocador de royos,931
44,rigger,933
45,maestro minero,931
46,operario junior,932
47,operaria paking,932
48,pulidor,932
49,supervisor de terreno,931
50,obrero,931
51,operaria de bodega,933
52,operadro mina,931
53,movilizador estibador,933
54,estivador,933
55,operario de producion,932
56,minero 2,931
57,estibador de carga,933
58,estibadora,933
59,operario de poduccion,932
60,ayudante de pasteleria,933
61,ayudante de perforacion,931
62,minero primera,931
63,operario producion,932
64,estibador,933
65,operaria picking,933
66,manipuladora arcas,933
67,excabacion y otros,931
68,operario cargador,933
69,mantenedor mina,931
70,minero operador,931
71,excavador,931
72,pilero,933
73,operaria produccion,932
74,repaletizadora,933
75,descargador y cargador,933
76,cot losa,931
77,frigorifico,932
78,ayudante de gasfiter,931
79,labores de mantencion,933
80,obrero produccion,932
81,operario minero,931
82,operario de carga,933
83,mantencion vial,931
84,operaria de cuadrilla,933
85,m2,933
86,suminstro de piso,933
87,ayudante de enfierrador,931
88,minero mantendor,931
89,ayudante de panaderia,932
90,operario en mina,931
91,ayudante de oficial,931
92,operaria de packing,932
93,minero,931
